Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 11:06:20:009,-162.98409,-5.22023,-2.82388,-71.88365,0.16426,-0.41490,82.24043,7.03861,0.50025,8.86001,-1.65413,1.90872,
07.10 11:06:20:060,-162.99463,-5.21904,-2.82463,-71.88522,0.16024,-0.41267,82.24043,7.03861,0.50025,8.86898,-1.65933,1.91171,
07.10 11:06:20:109,-162.99545,-5.21869,-2.82556,-71.88550,0.16017,-0.41198,82.24043,7.03861,0.50025,8.86953,-1.65975,1.91332,
07.10 11:06:20:155,-162.95059,-5.21681,-2.82764,-71.88577,0.15889,-0.41316,82.24043,7.03861,0.50025,8.82439,-1.66291,1.91422,
07.10 11:06:20:205,-162.95805,-5.21590,-2.82885,-71.88864,0.15876,-0.41380,82.24043,7.03861,0.50025,8.82899,-1.66395,1.91480,
07.10 11:06:20:257,-162.95479,-5.21337,-2.82759,-71.88937,0.15661,-0.41636,82.24043,7.03861,0.50025,8.82499,-1.66863,1.91097,
07.10 11:06:20:306,-162.96677,-5.21114,-2.82678,-71.88512,0.18751,-0.41594,82.24043,7.03861,0.50025,8.84122,-1.63997,1.91059,
07.10 11:06:20:359,-162.95715,-5.21022,-2.82742,-71.88600,0.18653,-0.41535,82.24043,7.03861,0.50025,8.83073,-1.64186,1.91181,
07.10 11:06:20:410,-162.97177,-5.21088,-2.82766,-71.88612,0.18976,-0.41285,82.24043,7.03861,0.50025,8.84522,-1.63798,1.91456,
07.10 11:06:20:460,-162.95613,-5.21066,-2.82704,-71.88669,0.18571,-0.41135,82.24043,7.03861,0.50025,8.82902,-1.64224,1.91545,
07.10 11:06:20:509,-162.97574,-5.21186,-2.82385,-71.88786,0.18783,-0.41167,82.24043,7.03861,0.50025,8.84745,-1.63893,1.91193,
07.10 11:06:20:558,-162.96745,-5.21388,-2.82333,-71.88782,0.18837,-0.41286,82.24043,7.03861,0.50025,8.83921,-1.63636,1.91022,
07.10 11:06:20:612,-162.97426,-5.21452,-2.82371,-71.88902,0.18768,-0.41105,82.24043,7.03861,0.50025,8.84482,-1.63642,1.91240,
07.10 11:06:20:658,-162.97002,-5.21464,-2.82431,-71.88734,0.18497,-0.41130,82.24043,7.03861,0.50025,8.84225,-1.63900,1.91276,
07.10 11:06:20:706,-162.95309,-5.21606,-2.82216,-71.88748,0.18682,-0.41114,82.24043,7.03861,0.50025,8.82519,-1.63573,1.91076,
07.10 11:06:20:756,-162.94081,-5.21653,-2.82400,-71.88937,0.18432,-0.41095,82.24043,7.03861,0.50025,8.81101,-1.63776,1.91280,
07.10 11:06:20:805,-162.93217,-5.21711,-2.82213,-71.88787,0.18330,-0.41062,82.24043,7.03861,0.50025,8.80388,-1.63820,1.91127,
07.10 11:06:20:859,-162.91534,-5.21923,-2.82075,-71.88926,0.18503,-0.41273,82.24043,7.03861,0.50025,8.78566,-1.63435,1.90777,
07.10 11:06:20:908,-162.90076,-5.21985,-2.82206,-71.89179,0.18289,-0.41325,82.24043,7.03861,0.50025,8.76854,-1.63587,1.90856,
07.10 11:06:20:960,-162.86493,-5.21749,-2.82219,-71.88967,0.17886,-0.41042,82.24043,7.03861,0.50025,8.73483,-1.64226,1.91152,
