Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,
06.17 10:59:32,83126,0.51236,0.12929,9.86890,-0.01172,-0.00213,0.00426,2.39258,4.18701,27.51465,-0.04134,118.71811,-2.26347,0.50957,0.01681,-0.01038,0.86019,
06.17 10:59:32,83127,0.51236,0.12929,9.87369,-0.00959,-0.00213,0.00533,3.43933,5.53284,28.56140,-0.04419,118.76196,-2.26404,0.50924,0.01681,-0.01039,0.86038,
06.17 10:59:32,83128,0.51715,0.12929,9.88326,-0.00852,-0.00107,0.00426,3.43933,5.53284,28.56140,-0.04514,118.80590,-2.26418,0.50891,0.01681,-0.01040,0.86058,
06.17 10:59:32,83129,0.51715,0.12450,9.86890,-0.00852,-0.00107,0.00639,3.14026,4.93469,29.45862,-0.04647,118.85157,-2.26469,0.50857,0.01681,-0.01040,0.86078,
06.17 10:59:32,83130,0.51715,0.12450,9.87369,-0.00959,-0.00107,0.00533,2.69165,5.98145,30.20630,-0.04814,118.91043,-2.26447,0.50812,0.01680,-0.01040,0.86104,
06.17 10:59:32,83131,0.51715,0.11971,9.86890,-0.00959,0.00000,0.00426,3.28979,4.78516,29.01001,-0.05004,118.95144,-2.26340,0.50782,0.01679,-0.01041,0.86122,
06.17 10:59:32,83132,0.51715,0.11971,9.87369,-0.00852,-0.00107,0.00639,2.54211,4.93469,30.35583,-0.05213,119.00827,-2.26342,0.50739,0.01679,-0.01042,0.86147,
06.17 10:59:32,83133,0.52194,0.13886,9.87848,-0.00746,0.00000,0.00639,2.54211,4.93469,30.35583,-0.05272,119.06576,-2.26318,0.50696,0.01679,-0.01041,0.86172,
06.17 10:59:32,83134,0.51236,0.13886,9.86890,-0.00746,0.00107,0.00533,2.24304,5.23376,29.45862,-0.05368,119.12862,-2.26216,0.50648,0.01678,-0.01040,0.86200,
06.17 10:59:32,83135,0.50278,0.13886,9.85932,-0.00852,-0.00107,0.00533,2.69165,4.48608,28.71094,-0.05431,119.17883,-2.26176,0.50611,0.01678,-0.01040,0.86222,
06.17 10:59:32,83136,0.50278,0.13886,9.85932,-0.01065,-0.00107,0.00639,2.84119,5.23376,28.86047,-0.05637,119.23125,-2.26140,0.50571,0.01677,-0.01041,0.86245,
06.17 10:59:32,83137,0.50757,0.12450,9.86890,-0.00746,0.00000,0.00533,2.54211,4.03748,28.56140,-0.05838,119.28127,-2.26067,0.50534,0.01676,-0.01041,0.86268,
06.17 10:59:32,83138,0.51236,0.13408,9.86890,-0.00746,-0.00213,0.00533,4.03748,4.03748,27.36511,-0.05902,119.29938,-2.26093,0.50520,0.01677,-0.01041,0.86276,
06.17 10:59:32,83139,0.51715,0.13408,9.87369,-0.00852,-0.00320,0.00533,2.84119,4.93469,29.15955,-0.06111,119.35069,-2.26202,0.50481,0.01677,-0.01043,0.86298,
06.17 10:59:32,83140,0.51715,0.12929,9.86890,-0.00959,-0.00213,0.00852,3.14026,4.33655,28.86047,-0.06298,119.39113,-2.26296,0.50451,0.01677,-0.01044,0.86316,
06.17 10:59:32,83141,0.51236,0.12929,9.87369,-0.00852,-0.00213,0.00639,3.14026,4.33655,28.86047,-0.06426,119.43222,-2.26323,0.50420,0.01677,-0.01044,0.86334,
06.17 10:59:32,83142,0.51715,0.12450,9.86890,-0.00959,-0.00107,0.00426,3.43933,5.53284,29.15955,-0.06604,119.47649,-2.26348,0.50387,0.01677,-0.01045,0.86354,
06.17 10:59:32,83143,0.51236,0.12450,9.88326,-0.00959,-0.00107,0.00533,2.24304,4.03748,28.26233,-0.06782,119.53249,-2.26353,0.50344,0.01677,-0.01046,0.86379,
06.17 10:59:32,83144,0.49799,0.11492,9.85932,-0.01065,-0.00320,0.00533,1.94397,5.23376,28.86047,-0.06941,119.60006,-2.26461,0.50293,0.01677,-0.01046,0.86409,
06.17 10:59:32,83145,0.48842,0.11013,9.86411,-0.00746,0.00000,0.00639,2.54211,4.03748,27.96326,-0.07117,119.65033,-2.26491,0.50255,0.01677,-0.01047,0.86431,
06.17 10:59:32,83146,0.50278,0.11492,9.85932,-0.00852,-0.00107,0.00639,3.88794,5.08423,29.30908,-0.07187,119.68423,-2.26497,0.50230,0.01677,-0.01047,0.86446,
06.17 10:59:32,83147,0.51236,0.11971,9.87848,-0.00852,0.00213,0.00533,2.99072,5.38330,29.01001,-0.07323,119.73576,-2.26383,0.50191,0.01676,-0.01047,0.86469,
06.17 10:59:32,83148,0.52194,0.13408,9.86411,-0.00533,-0.00213,0.00746,1.79443,4.78516,29.01001,-0.07282,119.80571,-2.26355,0.50138,0.01677,-0.01045,0.86500,
06.17 10:59:32,83149,0.52194,0.12929,9.87369,-0.00959,0.00107,0.00533,1.79443,4.78516,29.01001,-0.07490,119.87639,-2.26335,0.50085,0.01677,-0.01046,0.86531,
06.17 10:59:32,83150,0.51715,0.13408,9.85932,-0.00852,-0.00107,0.00533,2.39258,4.48608,29.60815,-0.07574,119.93365,-2.26232,0.50042,0.01676,-0.01045,0.86556,
06.17 10:59:33,83151,0.50278,0.12929,9.86411,-0.01065,-0.00107,0.00533,4.18701,5.08423,28.41187,-0.07857,119.96158,-2.26246,0.50021,0.01675,-0.01047,0.86568,
06.17 10:59:33,83152,0.49321,0.12450,9.85932,-0.00959,-0.00107,0.00533,2.99072,5.08423,29.01001,-0.08061,120.01058,-2.26264,0.49984,0.01675,-0.01048,0.86589,
06.17 10:59:33,83153,0.48363,0.11013,9.86411,-0.00959,0.00000,0.00533,3.28979,4.78516,28.71094,-0.08243,120.05232,-2.26296,0.49952,0.01675,-0.01049,0.86607,
06.17 10:59:33,83154,0.48363,0.10534,9.85932,-0.00852,-0.00107,0.00639,2.99072,4.48608,29.30908,-0.08404,120.09756,-2.26299,0.49918,0.01674,-0.01049,0.86626,
06.17 10:59:33,83155,0.49799,0.11013,9.86890,-0.00746,-0.00107,0.00426,3.58887,2.39258,29.01001,-0.08468,120.09758,-2.26305,0.49918,0.01674,-0.01050,0.86626,
06.17 10:59:33,83156,0.51236,0.11492,9.87848,-0.00639,0.00000,0.00533,3.28979,4.78516,28.71094,-0.08467,120.13839,-2.26270,0.49887,0.01674,-0.01049,0.86644,
06.17 10:59:33,83157,0.51236,0.12929,9.88326,-0.00533,0.00107,0.00533,3.28979,4.78516,28.71094,-0.08494,120.17978,-2.26220,0.49856,0.01674,-0.01049,0.86662,
06.17 10:59:33,83158,0.52194,0.13886,9.88326,-0.00639,-0.00107,0.00426,2.39258,6.28052,29.60815,-0.08476,120.24413,-2.26183,0.49807,0.01675,-0.01047,0.86689,
06.17 10:59:33,83159,0.52194,0.13886,9.86890,-0.01172,0.00107,0.00533,2.69165,3.58887,28.41187,-0.08577,120.28665,-2.26191,0.49775,0.01675,-0.01048,0.86708,
06.17 10:59:33,83160,0.50278,0.14365,9.87369,-0.01065,0.00000,0.00533,2.99072,5.68237,27.21558,-0.08794,120.33835,-2.26083,0.49736,0.01673,-0.01048,0.86730,
06.17 10:59:33,83161,0.49799,0.12929,9.86411,-0.00959,-0.00213,0.00533,4.63562,4.93469,28.26233,-0.08927,120.35756,-2.26143,0.49722,0.01673,-0.01049,0.86738,
06.17 10:59:33,83162,0.49799,0.12450,9.86411,-0.00639,-0.00213,0.00426,4.63562,4.93469,28.26233,-0.09024,120.37631,-2.26184,0.49707,0.01673,-0.01050,0.86746,
06.17 10:59:33,83163,0.50278,0.12450,9.86890,-0.00746,-0.00107,0.00533,3.28979,4.18701,29.60815,-0.09029,120.41267,-2.26252,0.49680,0.01674,-0.01049,0.86762,
06.17 10:59:33,83164,0.51715,0.11971,9.86890,-0.00533,-0.00320,0.00639,2.24304,5.23376,28.56140,-0.09023,120.47591,-2.26275,0.49632,0.01675,-0.01049,0.86789,
06.17 10:59:33,83165,0.53630,0.13408,9.86890,-0.00852,-0.00213,0.00639,2.24304,5.23376,28.56140,-0.09066,120.53919,-2.26411,0.49584,0.01676,-0.01049,0.86817,
06.17 10:59:33,83166,0.53630,0.12929,9.87848,-0.00852,0.00000,0.00426,1.79443,3.88794,29.30908,-0.09181,120.60680,-2.26405,0.49533,0.01676,-0.01048,0.86846,
06.17 10:59:33,83167,0.52672,0.13408,9.86890,-0.00746,0.00000,0.00426,1.94397,2.84119,29.15955,-0.09241,120.66351,-2.26414,0.49490,0.01677,-0.01048,0.86870,
