Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
06.29 16:44:29:111,70.64217,-2.98846,3.20862,136.05948,-2.30781,3.82731,64.85825,1.28606,0.44938,0.55906,-0.60541,0.16931,
06.29 16:44:29:147,71.94715,-2.96383,3.23895,137.80363,-2.29434,3.87413,64.85825,1.28606,0.44938,0.99823,-0.61658,0.18581,
06.29 16:44:29:177,73.66993,-2.88316,3.25668,139.07628,-2.23246,3.89194,64.85825,1.28606,0.44938,0.54810,-0.63537,0.18588,
06.29 16:44:29:211,74.90431,-2.78633,3.26444,140.31940,-2.15048,3.90602,64.85825,1.28606,0.44938,0.55683,-0.65022,0.19220,
06.29 16:44:29:265,76.51454,-2.76387,3.26934,141.91246,-2.16138,3.90220,64.85825,1.28606,0.44938,0.53967,-0.68358,0.18349,
06.29 16:44:29:314,78.37436,-2.63357,3.29601,143.72601,-2.04695,3.95201,64.85825,1.28606,0.44938,0.49340,-0.69944,0.20662,
06.29 16:44:29:364,79.93315,-2.61132,3.21222,145.29478,-2.05019,3.86023,64.85825,1.28606,0.44938,0.50338,-0.72494,0.19863,
06.29 16:44:29:397,80.96944,-2.65286,3.10484,146.50790,-2.12016,3.75383,64.85825,1.28606,0.44938,0.68021,-0.75336,0.19961,
06.29 16:44:29:429,81.71558,-2.66401,3.01122,147.01102,-2.11712,3.66941,64.85825,1.28606,0.44938,0.43719,-0.73917,0.20882,
06.29 16:44:29:460,82.08155,-2.57502,2.85552,147.36159,-2.02568,3.50331,64.85825,1.28606,0.44938,0.42178,-0.73673,0.19841,
06.29 16:44:29:494,82.34845,-2.44168,2.69354,147.62021,-1.89993,3.34526,64.85825,1.28606,0.44938,0.41351,-0.74432,0.20234,
06.29 16:44:29:527,82.58475,-2.43922,2.60075,147.84018,-1.92451,3.27879,64.85825,1.28606,0.44938,0.39717,-0.77136,0.22866,
06.29 16:44:29:560,82.69150,-2.50619,2.67133,147.93829,-1.99222,3.35998,64.85825,1.28606,0.44938,0.38854,-0.77210,0.23927,
06.29 16:44:29:594,82.73721,-2.48401,2.75441,147.97382,-1.95444,3.43948,64.85825,1.28606,0.44938,0.37836,-0.75649,0.23570,
06.29 16:44:29:626,82.61710,-2.34158,2.84309,147.82938,-1.80059,3.51800,64.85825,1.28606,0.44938,0.35402,-0.74507,0.22552,
06.29 16:44:29:660,82.39403,-2.16279,2.87228,147.58969,-1.60861,3.53576,64.85825,1.28606,0.44938,0.33741,-0.73188,0.21410,
06.29 16:44:29:693,82.06895,-1.97594,2.85152,147.24506,-1.41276,3.50735,64.85825,1.28606,0.44938,0.31785,-0.72288,0.20646,
06.29 16:44:29:727,81.50118,-1.72565,2.78946,146.67235,-1.16375,3.43664,64.85825,1.28606,0.44938,0.31291,-0.72416,0.19780,
